Source,Target,Relationship
4 Stroke,Frosty,Friendship
Adonis,Boxcar,Friendship
Adonis,Ghost,Friendship
Adonis,Jelly,Friendship
Bananas,Blue Eyes,Friendship
Bananas,Brains,Friendship
Bananas,Slingshot,Friendship
Bananas,Gremlin,Friendship
The Barber,O.G.,Friendship
Bat G.,Big G.,Friendship
Bat G.,Blaze,Friendship
Big G.,Blaze,Friendship
Boots,Fat Boy,Friendship
Boots,Freckles,Friendship
Boots,Icepick,Friendship
Boots,Repo Girl,Friendship
Bloodhound,Bow Wow,Friendship
Bloodhound,The Dentist,Friendship
Bloodhound,Slingshot,Friendship
Bow Wow,O.G.,Friendship
Boxcar,Ghost,Friendship
Boxcar,Jelly,Friendship
Brains,Slingshot,Friendship
Brains,Gremlin,Friendship
Cranky,Fat Boy,Friendship
The Dentist,O.G.,Friendship
Fat Boy,Freckles,Friendship
Fat Boy,Icepick,Friendship
Fat Boy,Repo Girl,Friendship
Slingshot,Gremlin,Friendship
Freckles,Icepick,Friendship
Freckles,Repo Girl,Friendship
Frosty,O.G.,Friendship
Ghost,Jelly,Friendship
Goldie,Pookey,Friendship
Goldie,O.G.,Friendship
Pookey,O.G.,Friendship
O.G.,Ha-Ha,Friendship
Icepick,Repo Girl,Friendship
Snake,Sonny Black,Friendship
