Id,Label,Type
EVELYN,EVELYN,Person
LAURA,LAURA,Person
THERESA,THERESA,Person
BRENDA,BRENDA,Person
CHARLOTTE,CHARLOTTE,Person
FRANCES,FRANCES,Person
ELEANOR,ELEANOR,Person
PEARL,PEARL,Person
RUTH,RUTH,Person
VERNE,VERNE,Person
MYRNA,MYRNA,Person
KATHERINE,KATHERINE,Person
SYLVIA,SYLVIA,Person
NORA,NORA,Person
HELEN,HELEN,Person
DOROTHY,DOROTHY,Person
OLIVIA,OLIVIA,Person
FLORA,FLORA,Person
E1,E1,Event
E2,E2,Event
E3,E3,Event
E4,E4,Event
E5,E5,Event
E6,E6,Event
E7,E7,Event
E8,E8,Event
E9,E9,Event
E10,E10,Event
E11,E11,Event
E12,E12,Event
E13,E13,Event
E14,E14,Event
